date,open,gap,hod,low,close,eodVolume,pmVolume,floatShares,marketCap,hodTime,lodTime,openPush,hodToClose,closedRed
6/1/2020,$3.50 ,42.28%,$5.94 ,$3.35 ,$3.95 ,"75,000,000","2,154,000","10,000,000","$35,000,000 ",9:57:00 AM,4:00:00 PM,69.71%,-33.50%,no
6/1/2020,$2.28 ,103.57%,$2.79 ,$1.83 ,$1.99 ,"11,410,000","8,880,000","22,970,000","$52,371,600 ",10:23:00 AM,3:00:00 PM,22.37%,-28.67%,yes
6/1/2020,$2.54 ,164.58%,$3.18 ,$2.08 ,$2.61 ,"200,000,000","15,578,000","14,890,000","$37,820,600 ",12:19:00 PM,10:00:00 AM,25.20%,-17.92%,no
6/2/2020,$2.35 ,62.07%,$2.68 ,$1.60 ,$1.64 ,"45,000,000","8,545,000","9,850,000","$23,147,500 ",9:52:00 AM,3:54:00 PM,14.04%,-38.81%,yes
6/2/2020,$4.28 ,112.94%,$4.28 ,$2.30 ,$2.36 ,"22,000,000","3,578,000","7,560,000","$32,356,800 ",9:30:00 AM,4:00:00 PM,0.00%,-44.86%,yes
6/2/2020,$4.46 ,197.33%,$5.30 ,$2.65 ,$2.87 ,"75,000,000","5,050,000","5,050,000","$22,523,000 ",9:39:00 AM,3:42:00 PM,18.83%,-45.85%,yes
6/3/2020,$3.45 ,48.07%,$3.85 ,$2.70 ,$2.86 ,"24,000,000","4,710,000","6,670,000","$23,011,500 ",9:48:00 AM,3:52:00 PM,11.59%,-25.71%,yes
6/3/2020,$4.27 ,97.69%,$4.66 ,$3.13 ,$3.30 ,"27,000,000","3,504,000","21,330,000","$91,079,100 ",9:32:00 AM,12:22:00 PM,9.13%,-29.18%,yes
6/3/2020,$12 ,200.00%,$14.00 ,$7.00 ,$7.30 ,"15,708,000","2,723,000","5,000,000","$60,000,000 ",10:10:00 AM,3:57:00 PM,16.00%,-47.86%,yes
6/4/2020,$1.90 ,115.91%,$2.49 ,$1.43 ,$1.60 ,"25,000,000","5,838,000","24,200,000","$45,980,000 ",9:43:00 AM,3:00:00 PM,31.05%,-35.74%,yes
